#Name	GGCCCA	TATA	Y-patch	YR
LOC123404411_1	0	0	0	1
LOC123426465_1	0	1	1	1
LOC123449711_1	0	0	0	1
LOC123395383_1	0	1	0	1
LOC123407709_1	0	0	0	0
LOC123399773_1	0	0	0	0
LOC123425760_1	0	0	1	1
LOC123444188_1	0	0	1	1
LOC123397908_1	0	0	1	1
LOC123430337_1	0	1	0	1
LOC123399474_1	0	0	0	1
LOC123450043_2	0	0	0	1
LOC123407009_1	0	0	0	1
LOC123426303_1	0	0	1	1
LOC123425889_1	1	0	0	1
LOC123449525_1	0	0	0	1
LOC123446466_1	0	0	1	1
LOC123410589_1	0	1	1	1
LOC123442545_2	0	0	0	1
LOC123428588_1	0	0	0	1
LOC123448626_1	1	0	1	1
LOC123426139_1	0	1	1	1
LOC123419550_1	0	0	0	1
LOC123445309_1	0	0	0	1
LOC123405875_1	1	0	1	1
LOC123403410_1	0	0	1	1
LOC123443339_1	0	1	0	1
LOC123447884_1	0	1	0	1
LOC123445183_1	0	0	0	1
LOC123401189_1	1	0	0	0
LOC123430912_1	0	1	0	1
LOC123427297_2	0	0	0	1
LOC123439893_1	0	0	0	1
LOC123405810_1	0	0	0	1
LOC123439242_1	0	0	0	1
LOC123452625_1	0	0	1	1
LOC123440087_1	0	0	0	1
LOC123447138_1	0	0	0	1
LOC123408898_1	0	0	1	1
LOC123404789_1	1	0	0	1
LOC123426322_1	0	0	0	0
LOC123449910_1	1	0	0	1
LOC123430782_1	0	1	0	1
LOC123442410_1	0	0	0	1
LOC123410940_1	0	1	1	1
LOC123410121_1	0	0	0	1
LOC123428124_1	0	0	0	1
LOC123407787_1	0	0	1	1
LOC123408075_1	0	0	0	1
LOC123396594_1	0	1	0	1
LOC123407218_1	0	1	0	1
LOC123399847_1	0	0	0	1
LOC123427926_1	0	0	0	1
LOC123452771_1	0	0	0	1
LOC123430762_1	0	0	1	1
LOC123434352_2	0	0	1	1
LOC123448641_1	0	0	1	1
LOC123428484_1	0	0	0	1
LOC123440060_1	0	0	1	1
